sentence_id,premise,hypothesis,nli_label,pred_label,prob_entail,date,hypothesis_label,outlet,country,year,decade,prob_entail_corrected,pred_label_corrected,fold,y_bin,threshold_used,pred_label_thresh
14,"Ja, aber der Betreiber kann im Rahmen seines Hausrechts Einzelnen den Zugang verwehren.---Könnten sich Männer im Kriegsfall vor der Einberufung drücken, indem sie ihr Geschlecht kurzfristig ändern?","This sentence refers to socio-economic position as a social group, specifically ""lower class"".",1,1,0.0048031085,2023-08-26,lower class,Spiegel,Germany,2023.0,2020.0,7.597761049796384e-05,1,0,0,0.97538155,1
14,"Ja, aber der Betreiber kann im Rahmen seines Hausrechts Einzelnen den Zugang verwehren.---Könnten sich Männer im Kriegsfall vor der Einberufung drücken, indem sie ihr Geschlecht kurzfristig ändern?","This sentence refers to socio-economic position as a social group, specifically ""middle class"".",1,1,0.004566298,2023-08-26,middle class,Spiegel,Germany,2023.0,2020.0,7.221472949570834e-05,1,0,0,0.9714765,1
14,"Ja, aber der Betreiber kann im Rahmen seines Hausrechts Einzelnen den Zugang verwehren.---Könnten sich Männer im Kriegsfall vor der Einberufung drücken, indem sie ihr Geschlecht kurzfristig ändern?","This sentence refers to socio-economic position as a social group, specifically ""upper class"".",1,1,0.004507387,2023-08-26,upper class,Spiegel,Germany,2023.0,2020.0,7.127891679663709e-05,1,0,0,0.9755223,1
14,"Ja, aber der Betreiber kann im Rahmen seines Hausrechts Einzelnen den Zugang verwehren.---Könnten sich Männer im Kriegsfall vor der Einberufung drücken, indem sie ihr Geschlecht kurzfristig ändern?","This sentence refers to socio-economic position as a social group, specifically ""capital owners, investors and shareholders"".",1,1,0.012928807,2023-08-26,"capital owners, investors and shareholders",Spiegel,Germany,2023.0,2020.0,0.00020617009423960076,1,0,0,0.9764697,1
14,"Ja, aber der Betreiber kann im Rahmen seines Hausrechts Einzelnen den Zugang verwehren.---Könnten sich Männer im Kriegsfall vor der Einberufung drücken, indem sie ihr Geschlecht kurzfristig ändern?","This sentence refers to socio-economic position as a social group, specifically ""unskilled or unqualified"".",1,1,0.0047680214,2023-08-26,unskilled or unqualified,Spiegel,Germany,2023.0,2020.0,7.541997086811133e-05,1,0,0,0.9747824,1
14,"Ja, aber der Betreiber kann im Rahmen seines Hausrechts Einzelnen den Zugang verwehren.---Könnten sich Männer im Kriegsfall vor der Einberufung drücken, indem sie ihr Geschlecht kurzfristig ändern?","This sentence refers to socio-economic position as a social group, specifically ""skilled or qualified"".",1,1,0.0045633297,2023-08-26,skilled or qualified,Spiegel,Germany,2023.0,2020.0,7.216757486458112e-05,1,0,0,0.96424526,1
31,"Ermittler des Bundeskriminalamts (BKA) durchsuchten am Donnerstag auf Antrag der Kölner Staatsanwaltschaft drei Objekte in Nordrhein-Westfalen, wie das BKA mitteilte.---Ein per Haftbefehl gesuchter Mann (24) sei festgenommen worden.","This sentence refers to socio-economic position as a social group, specifically ""lower class"".",1,1,0.0047558276,2022-09-29,lower class,Bild,Germany,2022.0,2020.0,7.522618374424699e-05,1,0,0,0.97538155,1
31,"Ermittler des Bundeskriminalamts (BKA) durchsuchten am Donnerstag auf Antrag der Kölner Staatsanwaltschaft drei Objekte in Nordrhein-Westfalen, wie das BKA mitteilte.---Ein per Haftbefehl gesuchter Mann (24) sei festgenommen worden.","This sentence refers to socio-economic position as a social group, specifically ""middle class"".",1,1,0.0046589407,2022-09-29,middle class,Bild,Germany,2022.0,2020.0,7.36865973469745e-05,1,0,0,0.9714765,1
31,"Ermittler des Bundeskriminalamts (BKA) durchsuchten am Donnerstag auf Antrag der Kölner Staatsanwaltschaft drei Objekte in Nordrhein-Westfalen, wie das BKA mitteilte.---Ein per Haftbefehl gesuchter Mann (24) sei festgenommen worden.","This sentence refers to socio-economic position as a social group, specifically ""upper class"".",1,1,0.0045519723,2022-09-29,upper class,Bild,Germany,2022.0,2020.0,7.19871529321008e-05,1,0,0,0.9755223,1
31,"Ermittler des Bundeskriminalamts (BKA) durchsuchten am Donnerstag auf Antrag der Kölner Staatsanwaltschaft drei Objekte in Nordrhein-Westfalen, wie das BKA mitteilte.---Ein per Haftbefehl gesuchter Mann (24) sei festgenommen worden.","This sentence refers to socio-economic position as a social group, specifically ""capital owners, investors and shareholders"".",1,1,0.0048399568,2022-09-29,"capital owners, investors and shareholders",Bild,Germany,2022.0,2020.0,7.65632825597494e-05,1,0,0,0.9764697,1
31,"Ermittler des Bundeskriminalamts (BKA) durchsuchten am Donnerstag auf Antrag der Kölner Staatsanwaltschaft drei Objekte in Nordrhein-Westfalen, wie das BKA mitteilte.---Ein per Haftbefehl gesuchter Mann (24) sei festgenommen worden.","This sentence refers to socio-economic position as a social group, specifically ""unskilled or unqualified"".",1,1,0.0047921576,2022-09-29,unskilled or unqualified,Bild,Germany,2022.0,2020.0,7.58035635809761e-05,1,0,0,0.9747824,1
31,"Ermittler des Bundeskriminalamts (BKA) durchsuchten am Donnerstag auf Antrag der Kölner Staatsanwaltschaft drei Objekte in Nordrhein-Westfalen, wie das BKA mitteilte.---Ein per Haftbefehl gesuchter Mann (24) sei festgenommen worden.","This sentence refers to socio-economic position as a social group, specifically ""skilled or qualified"".",1,1,0.0047194352,2022-09-29,skilled or qualified,Bild,Germany,2022.0,2020.0,7.464785379797272e-05,1,0,0,0.96424526,1
36,"Ehe klar sei, wohin die Reise gehe, seien defensive Investoren gut beraten, sich von konjunkturabhängigen Werten wie etwa Maschinenbauern fernzuhalten.","This sentence refers to socio-economic position as a social group, specifically ""lower class"".",1,1,0.0047232537,2008-01-05,lower class,Welt,Germany,2008.0,2000.0,7.470853354888245e-05,1,0,0,0.97538155,1
36,"Ehe klar sei, wohin die Reise gehe, seien defensive Investoren gut beraten, sich von konjunkturabhängigen Werten wie etwa Maschinenbauern fernzuhalten.","This sentence refers to socio-economic position as a social group, specifically ""middle class"".",1,1,0.0045940406,2008-01-05,middle class,Welt,Germany,2008.0,2000.0,7.265546385287178e-05,1,0,0,0.9714765,1
36,"Ehe klar sei, wohin die Reise gehe, seien defensive Investoren gut beraten, sich von konjunkturabhängigen Werten wie etwa Maschinenbauern fernzuhalten.","This sentence refers to socio-economic position as a social group, specifically ""upper class"".",1,1,0.0046160812,2008-01-05,upper class,Welt,Germany,2008.0,2000.0,7.300563030547022e-05,1,0,0,0.9755223,1
36,"Ehe klar sei, wohin die Reise gehe, seien defensive Investoren gut beraten, sich von konjunkturabhängigen Werten wie etwa Maschinenbauern fernzuhalten.","This sentence refers to socio-economic position as a social group, specifically ""capital owners, investors and shareholders"".",0,0,0.9949988,2008-01-05,"capital owners, investors and shareholders",Welt,Germany,2008.0,2000.0,0.7579998889699205,0,0,1,0.9764697,0
36,"Ehe klar sei, wohin die Reise gehe, seien defensive Investoren gut beraten, sich von konjunkturabhängigen Werten wie etwa Maschinenbauern fernzuhalten.","This sentence refers to socio-economic position as a social group, specifically ""unskilled or unqualified"".",1,1,0.0047910316,2008-01-05,unskilled or unqualified,Welt,Germany,2008.0,2000.0,7.578566783834671e-05,1,0,0,0.9747824,1
36,"Ehe klar sei, wohin die Reise gehe, seien defensive Investoren gut beraten, sich von konjunkturabhängigen Werten wie etwa Maschinenbauern fernzuhalten.","This sentence refers to socio-economic position as a social group, specifically ""skilled or qualified"".",1,1,0.0047978414,2008-01-05,skilled or qualified,Welt,Germany,2008.0,2000.0,7.589389795659877e-05,1,0,0,0.96424526,1
40,"Die neue Regelung geht auf das Versorgungsstärkungsgesetz zurück, dessen Entwurf Bundesgesundheitsminister ---  Das Gesetz sieht vor, dass die Mitarbeiter der Terminbörse dem Betroffenen zunächst innerhalb einer Woche einen Facharzttermin vermitteln.","This sentence refers to socio-economic position as a social group, specifically ""lower class"".",1,1,0.0048904945,2016-01-26,lower class,SZ,Germany,2016.0,2010.0,7.736660529229243e-05,1,0,0,0.97538155,1
40,"Die neue Regelung geht auf das Versorgungsstärkungsgesetz zurück, dessen Entwurf Bundesgesundheitsminister ---  Das Gesetz sieht vor, dass die Mitarbeiter der Terminbörse dem Betroffenen zunächst innerhalb einer Woche einen Facharzttermin vermitteln.","This sentence refers to socio-economic position as a social group, specifically ""middle class"".",1,1,0.0047243363,2016-01-26,middle class,SZ,Germany,2016.0,2010.0,7.472573721961936e-05,1,0,0,0.9714765,1
40,"Die neue Regelung geht auf das Versorgungsstärkungsgesetz zurück, dessen Entwurf Bundesgesundheitsminister ---  Das Gesetz sieht vor, dass die Mitarbeiter der Terminbörse dem Betroffenen zunächst innerhalb einer Woche einen Facharzttermin vermitteln.","This sentence refers to socio-economic position as a social group, specifically ""upper class"".",1,1,0.0046732,2016-01-26,upper class,SZ,Germany,2016.0,2010.0,7.391316699327404e-05,1,0,0,0.9755223,1
40,"Die neue Regelung geht auf das Versorgungsstärkungsgesetz zurück, dessen Entwurf Bundesgesundheitsminister ---  Das Gesetz sieht vor, dass die Mitarbeiter der Terminbörse dem Betroffenen zunächst innerhalb einer Woche einen Facharzttermin vermitteln.","This sentence refers to socio-economic position as a social group, specifically ""capital owners, investors and shareholders"".",1,1,0.0047790217,2016-01-26,"capital owners, investors and shareholders",SZ,Germany,2016.0,2010.0,7.559479458126589e-05,1,0,0,0.9764697,1
