hypothesis_label,bucket,prob_entail,premise,outlet,year
couples,false_positive,0.995,"La prise de son s'en ressent, mais les partenaires y prennent des risques que le studio a tendance à inhiber, si bien que l'on a l'impression bouleversante d'être conviés dans l'atelier des artistes.",Figaro,2002.0
couples,false_positive,0.994,"Die Mütter, die Ehefrauen der Soldaten, die Freundinnen, die Schwestern, die auf die Straße gehen - das hat eine andere Qualität.""",Bild,2022.0
couples,false_positive,0.985,Difficile de se frayer un passage entre les passes survoltées et les acrobaties sensuelles des couples de danseurs.,Parisien,2000.0
couples,false_positive,0.995,"Les régions du Sud sont parmi les plus pauvres du pays, avec des indicateurs sociaux dégradés (des hôpitaux mal équipés, des écoles sans professeurs, un nombre élevé de jeunes au chômage, des jeunes filles mariées dès la sortie de l’école secondaire, etc.",MondeDiplo,2020.0
couples,false_positive,0.996,"Aber wer hätte sich vor 30 Jahren in Deutschland ernsthaft vorstellen können, dass zwei Männer oder zwei Frauen heiraten und eine Familie gründen?",Spiegel,2023.0
couples,false_positive,0.99,"2008 fassten die Rentner den Entschluss, eine Wohngemeinschaft im Alter zu gründen.",SZ,2018.0
couples,false_negative,0.001,"Wie entstehen Selbstzweifel?---Wir lernen, woran wir zweifeln sollen - durch Kritik von unseren Eltern und/oder Partnern, durch Erfahrungen im Berufsleben, durch das Beobachten des Umfeldes oder auch durch Filme und soziale Medien.---""Selbstzweifel und das dahinterliegende Gefühl von Scham und zum Teil Angst entstehen aufgrund unserer Umwelt, unseres Selbstbildes und unserem Glauben, was gut, richtig und akzeptabel ist"", erklärt Sabrina Fleisch.",Bild,2022.0
couples,false_negative,0.99,"Les tarifs réduits ont été utilisés par dix millions de voyageurs "" Vermeil "" : quatre millions ; "" Séjour "" : trois millions ; "" Famille "" : deux millions ; "" Couple "" : un million)",Monde,2008.0
couples,false_negative,0.979,"Juste celui d'agiter quelques fantasmes, dont l'adoption d'enfants par les couples homos.",Liberation,1998.0
couples,false_negative,0.991,"Denn die Elternpaare rasten schon nach einer Stunde aus.---""Meine Stücke sind für gute Schauspieler geschrieben"", sagte Reza einmal.",Welt,2008.0
couples,false_negative,0.986,"Ausländerintegration, Einwanderung, Gleichstellung der Lebensgemeinschaften, Ökologie - jetzt ist der Vertrauensvorschuß bei den Grünen.",Zeit,1995.0
couples,false_negative,0.991,"---Vergleicht man verschiedene Haushalte, dann haben Alleinlebende laut RWI fast über die ganze Bandbreite der Einkommen eine um rund 5 Prozentpunkte höhere Steuer- und Abgabenlast als Paare mit Kindern.",FAZ,2017.0
couples,true_positive,0.994,Nicht verheiratete Paare würden den gleichen Schutz per Erbvertrag erhalten.,Welt,2021.0
couples,true_positive,0.991,Ces ressemblances croissantes concernent avant tout les couples hétérosexuels.,Figaro,2007.0
couples,true_positive,0.992,Mais il manque la présomption de maternité pour les couples de lesbiennes mariées.,Mediapart,2019.0
couples,true_positive,0.997,Dafür viele Pärchen: heute wieder Demonstration statt Kino oder Karaoke.,FAZ,2021.0
couples,true_positive,0.997,"Und es beginnt gut: Ihr Dringlichkeitsantrag, der nichteheliche Lebensgemeinschaften besser schützen, die Vergewaltigung in der Ehe bestrafen und den Datenschutz im neuen Bundeskriminalamtgesetz besser gewährleisten will, geht durch.",Zeit,1995.0
couples,true_positive,0.996,Aktuell sind jährliche Einzahlungen bis 25 639 Euro pro Jahr für Ledige beziehungsweise 51 278 Euro für Verheiratete förderfähig.,Bild,2022.0
elderly,false_positive,0.991,"Denn so bleibt ihnen erspart, für die Sub-Senior-Anleihen Investoren zu finden.",FAZ,2021.0
elderly,false_positive,0.99,"Les cinq cent cinquante-six logement sociaux qui ont vu le jour au Vésinet en trente ans ne peuvent pas satisfaire la demande : « Ceux qui dénoncent le vieillissement de la population seront bien avisés de s'en préoccuper et d'accepter de mettre en oeuvre la solidarité de la communauté pour financer l'apport des terrains nécessaires », prédit M. Jonemann.",Monde,1995.0
elderly,false_positive,0.995,"Même si la loi est très protectrice envers les locataires en place, vous avez le droit de récupérer votre logement pour y loger vos proches (conjoint, partenaire pacsé, concubin depuis au moins un an, ascendants et descendants).--- Mais attention, vous ne pouvez pas le faire n'importe comment.",Figaro,2005.0
