sentence_id,premise,hypothesis,nli_label,pred_label,prob_entail,date,hypothesis_label,outlet,country,year,decade,prob_entail_corrected,pred_label_corrected,fold,y_bin,threshold_used,pred_label_thresh
5,Ob die Abteilung deshalb kaum zwanzig Mitglieder in ihren Reihen zählt?,"This sentence refers to social deviance as a social group, specifically ""extremists"".",1,1,0.006224188,1995-07-07,extremists,Zeit,Germany,1995.0,1990.0,0.00014979951484102189,1,0,0,0.7999054,1
5,Ob die Abteilung deshalb kaum zwanzig Mitglieder in ihren Reihen zählt?,"This sentence refers to social deviance as a social group, specifically ""terrorists, rebels, revolutionaries and/or movements of armed resistance"".",1,1,0.0060566003,1995-07-07,"terrorists, rebels, revolutionaries and/or movements of armed resistance",Zeit,Germany,1995.0,1990.0,0.00014574214224301845,1,0,0,0.9604877,1
5,Ob die Abteilung deshalb kaum zwanzig Mitglieder in ihren Reihen zählt?,"This sentence refers to social deviance as a social group, specifically ""offenders, criminals, prisoners and/or accused people"".",1,1,0.0062301904,1995-07-07,"offenders, criminals, prisoners and/or accused people",Zeit,Germany,1995.0,1990.0,0.0001499448603825453,1,0,0,0.9357208,1
5,Ob die Abteilung deshalb kaum zwanzig Mitglieder in ihren Reihen zählt?,"This sentence refers to social deviance as a social group, specifically ""drug addicts"".",1,1,0.006258026,1995-07-07,drug addicts,Zeit,Germany,1995.0,1990.0,0.000150618909896601,1,0,0,0.9411113,1
6,"Piloten nutzen solche Funkfeuer, um ihre Position zu bestimmen.","This sentence refers to social deviance as a social group, specifically ""extremists"".",1,1,0.0060687377,2016-04-08,extremists,SZ,Germany,2016.0,2010.0,0.00014603594923165875,1,0,0,0.7999054,1
6,"Piloten nutzen solche Funkfeuer, um ihre Position zu bestimmen.","This sentence refers to social deviance as a social group, specifically ""terrorists, rebels, revolutionaries and/or movements of armed resistance"".",1,1,0.0059662815,2016-04-08,"terrorists, rebels, revolutionaries and/or movements of armed resistance",SZ,Germany,2016.0,2010.0,0.00014355603769594492,1,0,0,0.9604877,1
6,"Piloten nutzen solche Funkfeuer, um ihre Position zu bestimmen.","This sentence refers to social deviance as a social group, specifically ""offenders, criminals, prisoners and/or accused people"".",1,1,0.006252069,2016-04-08,"offenders, criminals, prisoners and/or accused people",SZ,Germany,2016.0,2010.0,0.00015047465580365194,1,0,0,0.9357208,1
6,"Piloten nutzen solche Funkfeuer, um ihre Position zu bestimmen.","This sentence refers to social deviance as a social group, specifically ""drug addicts"".",1,1,0.006011409,2016-04-08,drug addicts,SZ,Germany,2016.0,2010.0,0.00014464826938673022,1,0,0,0.9411113,1
14,"Ja, aber der Betreiber kann im Rahmen seines Hausrechts Einzelnen den Zugang verwehren.---Könnten sich Männer im Kriegsfall vor der Einberufung drücken, indem sie ihr Geschlecht kurzfristig ändern?","This sentence refers to social deviance as a social group, specifically ""extremists"".",1,1,0.0064350804,2023-08-26,extremists,Spiegel,Germany,2023.0,2020.0,0.0001549072115855811,1,0,0,0.7999054,1
14,"Ja, aber der Betreiber kann im Rahmen seines Hausrechts Einzelnen den Zugang verwehren.---Könnten sich Männer im Kriegsfall vor der Einberufung drücken, indem sie ihr Geschlecht kurzfristig ändern?","This sentence refers to social deviance as a social group, specifically ""terrorists, rebels, revolutionaries and/or movements of armed resistance"".",1,1,0.0063580223,2023-08-26,"terrorists, rebels, revolutionaries and/or movements of armed resistance",Spiegel,Germany,2023.0,2020.0,0.00015304066189821832,1,0,0,0.9604877,1
