sentence_id,premise,hypothesis,nli_label,pred_label,prob_entail,date,hypothesis_label,outlet,country,year
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to real estate ownership as a social group, specifically ""real-estate owners"".",1,1,4.059175e-05,2023-08-26,real-estate owners,Spiegel,Germany,2023.0
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to real estate ownership as a social group, specifically ""tenants"".",1,1,3.798266e-05,2023-08-26,tenants,Spiegel,Germany,2023.0
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to real estate ownership as a social group, specifically ""homeless"".",1,1,3.9273542e-05,2023-08-26,homeless,Spiegel,Germany,2023.0
19,"--- Berechtigtster Vorwurf--- Für den CDU-Politiker hat sich die Talkmasterin nach einer knappen Viertelstunde eine spezielle Anmoderation einfallen lassen: ""Ich habe Sie nicht grundlos als letzten drangenommen, weil, keiner drängelt mehr als die Opposition"", erklärt sie.---Ihre provozierende Frage: ""Ist Ihnen gerecht egal?","This sentence refers to real estate ownership as a social group, specifically ""real-estate owners"".",1,1,5.131081e-05,2022-10-07,real-estate owners,Bild,Germany,2022.0
19,"--- Berechtigtster Vorwurf--- Für den CDU-Politiker hat sich die Talkmasterin nach einer knappen Viertelstunde eine spezielle Anmoderation einfallen lassen: ""Ich habe Sie nicht grundlos als letzten drangenommen, weil, keiner drängelt mehr als die Opposition"", erklärt sie.---Ihre provozierende Frage: ""Ist Ihnen gerecht egal?","This sentence refers to real estate ownership as a social group, specifically ""tenants"".",1,1,4.5132907e-05,2022-10-07,tenants,Bild,Germany,2022.0
19,"--- Berechtigtster Vorwurf--- Für den CDU-Politiker hat sich die Talkmasterin nach einer knappen Viertelstunde eine spezielle Anmoderation einfallen lassen: ""Ich habe Sie nicht grundlos als letzten drangenommen, weil, keiner drängelt mehr als die Opposition"", erklärt sie.---Ihre provozierende Frage: ""Ist Ihnen gerecht egal?","This sentence refers to real estate ownership as a social group, specifically ""homeless"".",1,1,4.500243e-05,2022-10-07,homeless,Bild,Germany,2022.0
44,"Tatsächlich konnten die Feuerwehrleute, die vom Hauseigentümer alarmiert worden waren, in dessen Garten sich der Tank befand, durch Messungen rasch feststellen, dass kein Gas austrat.","This sentence refers to real estate ownership as a social group, specifically ""real-estate owners"".",1,0,0.9884682,2017-03-11,real-estate owners,SZ,Germany,2017.0
44,"Tatsächlich konnten die Feuerwehrleute, die vom Hauseigentümer alarmiert worden waren, in dessen Garten sich der Tank befand, durch Messungen rasch feststellen, dass kein Gas austrat.","This sentence refers to real estate ownership as a social group, specifically ""tenants"".",1,1,0.004442895,2017-03-11,tenants,SZ,Germany,2017.0
44,"Tatsächlich konnten die Feuerwehrleute, die vom Hauseigentümer alarmiert worden waren, in dessen Garten sich der Tank befand, durch Messungen rasch feststellen, dass kein Gas austrat.","This sentence refers to real estate ownership as a social group, specifically ""homeless"".",1,1,0.0005966904,2017-03-11,homeless,SZ,Germany,2017.0
45,"Eine Karriere, die Müller seit Jahren als Partysängerin am Ballermann viel Geld einbrachte.---Der 16-Sekunden-Clip, der BILD zugespielt wurde, zeigt, wie Müller vor mutmaßlichen Neonazis auf der Bühne steht.","This sentence refers to real estate ownership as a social group, specifically ""real-estate owners"".",1,1,4.183623e-05,2022-09-28,real-estate owners,Bild,Germany,2022.0
