hypothesis_label,bucket,prob_entail,premise,outlet,year
"capital owners, investors and shareholders",false_positive,0.989,"Das UKM teilte dem SPIEGEL auf Anfrage mit, eine »besondere Nähe von Herr Masin zu bestimmten Pharmaherstellern« könne man nicht bestätigen.---Nach Ende seiner Kliniklaufbahn wollte sich Masin als hauptamtlicher Vorstand »voll und ganz der Stiftungsarbeit verschreiben«.",Spiegel,2023.0
"capital owners, investors and shareholders",false_positive,0.996,"Die Anleihen bilden aber einen Schutzring, bevor Kundeneinlagen oder Verbindlichkeiten aus Derivaten zur Verlustabdeckung herangezogen werden.",FAZ,2021.0
"capital owners, investors and shareholders",false_positive,0.982,"»Mit dem Generationenkapital würden keine Rentenbeiträge der Versicherten angelegt«, sagt sie.",Spiegel,2023.0
"capital owners, investors and shareholders",false_positive,0.996,"---Wenn sich in den verbleibenden Wochen nicht noch Dramatisches tut, dann ist das Jahr 2016 für die Beteiligungsgesellschaften hinter dem Vorjahr zurückgeblieben.",FAZ,2021.0
"capital owners, investors and shareholders",false_positive,0.975,Les congrégations catholiques sont parmi les plus gros propriétaires fonciers de Marseille !,Mediapart,2019.0
"capital owners, investors and shareholders",false_positive,0.974,"Ton mesuré, cheveux blancs et lunettes strictes à monture rectangulaire, il est l’un des animateurs les plus expérimentés du paysage audiovisuel russe, puisque sa carrière remonte aux années 1990, sur la chaîne NTV, qui était alors considérée comme la machine de guerre du milliardaire Vladimir Goussinski contre le président Boris Eltsine.",MondeDiplo,2021.0
"capital owners, investors and shareholders",false_negative,0.913,Zuletzt hatte es eine Konsolidierungswelle unter den Anbietern gegeben.,FAZ,2021.0
"capital owners, investors and shareholders",false_negative,0.015,Die erste Handelswoche des neuen Jahres ist für Börsianer besonders spannend.,Welt,2007.0
"capital owners, investors and shareholders",false_negative,0.947,"Nach Feierabend, am Wochenende, wenn sie nicht Dienst hat als Krankenschwester (»Geriatrie und ­Unfallchirurgie«) am Stadtrand von Berlin.---Man kann schon fragen, ob es fair ist, dass der Klempner und die Verkäuferin, der Zahnarzthelfer und die Reinigungskraft alles stehen und liegen lassen und einen Großteil ihrer Zeit hergeben und auch ihr Leben riskieren, um in den freiwilligen Feuerwehren einen Wald zu schützen, den Investoren mit langen Namen aus Westdeutschland besitzen.",Spiegel,2023.0
"capital owners, investors and shareholders",false_negative,0.974,"L’imagination des professionnels de la finance est sans doute une qualité qu’on peut leur reconnaître sans hésiter, et proverbial est leur goût ludique des stratégies de contournement.",MondeDiplo,2007.0
"capital owners, investors and shareholders",false_negative,0.014,"Après les hommes d'affaires, c'est maintenant le tour des étudiants et des femmes au foyer, qui veulent être eux aussi in.",Liberation,1999.0
"capital owners, investors and shareholders",false_negative,0.975,Auch dass Investorengruppen Hotels aufkauften fantastisch.,Spiegel,2023.0
"capital owners, investors and shareholders",true_positive,0.978,Uniper hat seinen Anteilseignern im Dezember steigende Dividenden angekündigt.,SZ,2018.0
"capital owners, investors and shareholders",true_positive,0.98,"Avec 44 % du capital, il n'en a pas le contrôle, mais il dispose d'un droit de préemption de premier rang face à tous les autres actionnaires.",Figaro,2002.0
"capital owners, investors and shareholders",true_positive,0.995,"Das sind nur vorläufige Zahlen, die aber wenig Hoffnung lassen für die vielen Gläubiger.",SZ,2016.0
"capital owners, investors and shareholders",true_positive,0.995,"Ces mêmes investisseurs ne se préoccupent pas ou peu des données économiques de fond, mais sont en revanche attentifs à la dégradation de l'image économique et politique de la France.",Monde,1995.0
"capital owners, investors and shareholders",true_positive,0.978,Le nombre d'actionnaires a finalement dépassé de peu le million.,Monde,1995.0
"capital owners, investors and shareholders",true_positive,0.995,"Der Rest sind Transaktionen mit ""Strategen"", also Konzernen aus Industrie, Handel oder Dienstleistungen - und diese Transaktionen  wiederum teilen sich etwa hälftig auf in die Fälle, in denen der Finanzinvestor als Käufer und als Verkäufer auftritt.",FAZ,2021.0
lower class,false_positive,0.991,"Si les personnes interrogées disent d'abord souffrir de l'absence d'un logement (80 %) et du manque d'argent (74 %), la solitude, l'ennui et la séparation d'avec les enfants sont également des maux massivement cités par les SDF, loin devant le froid (32 %), la faim (21 %) ou une dépendance à l'alcool (14 %).",Monde,1995.0
lower class,false_positive,0.993,"In meiner Not rettete ich mich kurz unter ein Dach, das für Menschen mit körperlichen Behinderungen reserviert war.---So wird sie aussehen, die Klima-Apokalypse, dachte ich.",Spiegel,2023.0
lower class,false_positive,0.994,"Il rappelle que le chômage détruit les chômeurs, y compris physiquement : ils ont en effet une mortalité près de trois fois supérieure à celle des actifs.",MondeDiplo,2001.0
lower class,false_positive,0.995,"58 000 sans-abri---Le problème est épineux et complexe : personne, même parmi les plus tolérants envers les SDF, ne semble vouloir d'abris de fortune ou de logements bon marché dans son quartier, car ils font tomber les prix de l'immobilier.",Figaro,2021.0
lower class,false_positive,0.991,"Von ihnen hat fast ein Drittel gar keine Schulbildung genossen, ein Zehntel sind Analphabeten.",FAZ,2021.0
lower class,false_positive,0.993,"« Peu importe que l'on gagne ou pas, le principal c'est que l'on aide les SDF et que l'on ait influencé les autres », ajoute Yasmine, 13 ans, tout en préparant les casse-croûte au thon.",Parisien,2018.0
lower class,false_negative,0.983,"Floribert Kaseba, relève qu’à l’inverse de ce qui se passe dans la capitale, on ne voit pas ici de mendiants ou d’enfants de la rue.",MondeDiplo,2006.0
lower class,false_negative,0.968,"Ce dernier a déclaré que ' s'il n'y avait pas beaucoup de chômeurs étrangers ', il y avait en revanche ' beaucoup d'assistés étrangers '.",Figaro,2002.0
lower class,false_negative,0.721,"Car les enfants du quartier, pour près de 40 % boursiers, n'ont pas tous, loin de là, l'occasion de partir en ' grandes vacances '",Figaro,2010.0
lower class,false_negative,0.021,"Parmi les techniques financières ' modernes ', les crédits ' revolving ' apparus en 1995 permettent aux ménages en difficulté de faire face.",Figaro,2002.0
lower class,false_negative,0.975,"Ce dispositif consiste à s’affranchir de l’hébergement d’urgence pour les personnes en difficulté, forcément précaire, pour les orienter plutôt vers des solutions pérennes : un accès direct au logement avec un accompagnement social adapté à leurs besoins.",Mediapart,2022.0
lower class,false_negative,0.975,La mesure risque de toucher directement les étudiants de milieux modestes.,Liberation,2000.0
lower class,true_positive,0.994,Nous acceptons comme allant de soi la définition que les riches donnent des pauvres.,Liberation,1998.0
lower class,true_positive,0.994,"Ja, verdammt noch mal: Es gibt acht Millionen arme Menschen, eine Million Kinder, die von der Sozialhilfe leben, dreieinhalb Millionen Arbeitslose.",Zeit,1995.0
lower class,true_positive,0.993,"Das aber können sich immer weniger Arbeiter leisten, die ihren Job verloren haben, Bauern, die durch Privatisierung verarmen.",Zeit,1995.0
lower class,true_positive,0.995,"Or, le bilan est là : pour la première fois depuis 2004, le régime des retraites est à l'équilibre ; la modulation des allocations familiales a conduit à une revalorisation de 25 à 30 % pour les familles les plus démunies ; le versement des pensions alimentaires est désormais garanti par l'Etat ; la généralisation des complémentaires santé a offert une meilleure couverture pour plus d'un million de personnes qui n'en avaient pas ; le tiers payant se met en place progressivement ; le déficit de la Sécu a été réduit sans le moindre déremboursement et nous venons de créer la prime d'activité pour les travailleurs modestes.",Liberation,2000.0
lower class,true_positive,0.994,"Die Armen, sagt Sané, seien ""doppelte Opfer"": Opfer des Systems und Opfer von Polizei und Behörden.",Zeit,1995.0
lower class,true_positive,0.994,"Des délais qui pénalisaient au premier chef les familles modestes ou les patients faisant l'objet d'un suivi médical régulier, dont l'avance des dépenses pèse sur les budgets.",Liberation,2000.0
middle class,false_positive,0.993,"Die Starken und Reichen (und die Frühaufsteher) werden sich unter die wenigen Sonnenschirme retten, die Asozialen den Schwachen ihre Schutzräume nehmen.",Spiegel,2023.0
middle class,false_positive,0.975,Une famille moyenne avec un seul revenu et deux enfants à charge (39 000 euros par an) épargnera 2 305 euros sur ses impôts.,Figaro,2002.0
middle class,false_positive,0.99,Nous acceptons comme allant de soi la définition que les riches donnent des pauvres.,Liberation,1998.0
middle class,false_positive,0.991,"Da aber dieser Status quo im Norden die Momentaufnahme der bürgerlichen Gesellschaft ist, entspringt aus ihm eine Innovationsdynamik.",FAZ,2021.0
