sentence_id,premise,hypothesis,nli_label,pred_label,prob_entail,date,hypothesis_label,outlet,country,year
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to age and family status as a social group, specifically ""parents and families"".",1,1,2.7296775e-05,2023-08-26,parents and families,Spiegel,Germany,2023.0
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to age and family status as a social group, specifically ""minors, including children and pupils"".",1,1,2.6478268e-05,2023-08-26,"minors, including children and pupils",Spiegel,Germany,2023.0
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to age and family status as a social group, specifically ""youth, including students and apprentices"".",1,1,2.8013083e-05,2023-08-26,"youth, including students and apprentices",Spiegel,Germany,2023.0
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to age and family status as a social group, specifically ""middle-aged and pre-retirement age groups"".",1,1,2.8572082e-05,2023-08-26,middle-aged and pre-retirement age groups,Spiegel,Germany,2023.0
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to age and family status as a social group, specifically ""elderly"".",1,1,3.090253e-05,2023-08-26,elderly,Spiegel,Germany,2023.0
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to age and family status as a social group, specifically ""couples"".",1,1,3.542527e-05,2023-08-26,couples,Spiegel,Germany,2023.0
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to age and family status as a social group, specifically ""singles"".",1,1,3.0387775e-05,2023-08-26,singles,Spiegel,Germany,2023.0
18,Trotz noch vorhandener technischer Probleme wollen die ungleichen Partner schon 1996 mit Profigeräten für Kinos oder Werbetreibende auf den Markt.,"This sentence refers to age and family status as a social group, specifically ""parents and families"".",1,1,2.635191e-05,1995-07-07,parents and families,Zeit,Germany,1995.0
18,Trotz noch vorhandener technischer Probleme wollen die ungleichen Partner schon 1996 mit Profigeräten für Kinos oder Werbetreibende auf den Markt.,"This sentence refers to age and family status as a social group, specifically ""minors, including children and pupils"".",1,1,2.6181975e-05,1995-07-07,"minors, including children and pupils",Zeit,Germany,1995.0
18,Trotz noch vorhandener technischer Probleme wollen die ungleichen Partner schon 1996 mit Profigeräten für Kinos oder Werbetreibende auf den Markt.,"This sentence refers to age and family status as a social group, specifically ""youth, including students and apprentices"".",1,1,2.668858e-05,1995-07-07,"youth, including students and apprentices",Zeit,Germany,1995.0
18,Trotz noch vorhandener technischer Probleme wollen die ungleichen Partner schon 1996 mit Profigeräten für Kinos oder Werbetreibende auf den Markt.,"This sentence refers to age and family status as a social group, specifically ""middle-aged and pre-retirement age groups"".",1,1,3.0721818e-05,1995-07-07,middle-aged and pre-retirement age groups,Zeit,Germany,1995.0
18,Trotz noch vorhandener technischer Probleme wollen die ungleichen Partner schon 1996 mit Profigeräten für Kinos oder Werbetreibende auf den Markt.,"This sentence refers to age and family status as a social group, specifically ""elderly"".",1,1,3.1579726e-05,1995-07-07,elderly,Zeit,Germany,1995.0
18,Trotz noch vorhandener technischer Probleme wollen die ungleichen Partner schon 1996 mit Profigeräten für Kinos oder Werbetreibende auf den Markt.,"This sentence refers to age and family status as a social group, specifically ""couples"".",1,1,2.7453438e-05,1995-07-07,couples,Zeit,Germany,1995.0
