sentence_id,premise,hypothesis,nli_label,pred_label,prob_entail,date,hypothesis_label,outlet,country,year,decade,prob_entail_corrected,pred_label_corrected,fold,y_bin,threshold_used,pred_label_thresh
3,"Aber wehe den Museumsleuten, die im Reich Ludwigscher Weltkunst nicht Haltung bewahren.","This sentence refers to social roles and behavior as a social group, specifically ""consumers and clients"".",1,1,0.019050576,1995-07-14,consumers and clients,Zeit,Germany,1995.0,1990.0,0.0008273546870909271,1,0,0,0.96759754,1
3,"Aber wehe den Museumsleuten, die im Reich Ludwigscher Weltkunst nicht Haltung bewahren.","This sentence refers to social roles and behavior as a social group, specifically ""car drivers"".",1,1,0.018659493,1995-07-14,car drivers,Zeit,Germany,1995.0,1990.0,0.0008100612672588367,1,0,0,0.9708134,1
3,"Aber wehe den Museumsleuten, die im Reich Ludwigscher Weltkunst nicht Haltung bewahren.","This sentence refers to social roles and behavior as a social group, specifically ""patients"".",1,1,0.018680155,1995-07-14,patients,Zeit,Germany,1995.0,1990.0,0.0008109745967028988,1,0,0,0.97578114,1
7,"Sie präsentiert aber auch viele Antworten und führt den Besucher klug durch eine spannende Epoche, die nach dem Zweiten Weltkrieg den Kunstbegriff neu definieren und besetzen wollte und deren Ideen bis heute aktuell sind.","This sentence refers to social roles and behavior as a social group, specifically ""consumers and clients"".",0,0,0.9370378,2016-11-10,consumers and clients,SZ,Germany,2016.0,2010.0,0.3882114070384142,1,0,1,0.96759754,1
7,"Sie präsentiert aber auch viele Antworten und führt den Besucher klug durch eine spannende Epoche, die nach dem Zweiten Weltkrieg den Kunstbegriff neu definieren und besetzen wollte und deren Ideen bis heute aktuell sind.","This sentence refers to social roles and behavior as a social group, specifically ""car drivers"".",1,1,0.020651447,2016-11-10,car drivers,SZ,Germany,2016.0,2010.0,0.000898281815573886,1,0,0,0.9708134,1
7,"Sie präsentiert aber auch viele Antworten und führt den Besucher klug durch eine spannende Epoche, die nach dem Zweiten Weltkrieg den Kunstbegriff neu definieren und besetzen wollte und deren Ideen bis heute aktuell sind.","This sentence refers to social roles and behavior as a social group, specifically ""patients"".",1,1,0.020723015,2016-11-10,patients,SZ,Germany,2016.0,2010.0,0.0009014578396011241,1,0,0,0.97578114,1
9,Auf 198 Seiten haben die mißtrauischen Partner das Risiko ihrer Kooperation einzugrenzen versucht.,"This sentence refers to social roles and behavior as a social group, specifically ""consumers and clients"".",1,1,0.023492143,1995-07-07,consumers and clients,Zeit,Germany,1995.0,1990.0,0.001024687293377205,1,0,0,0.96759754,1
9,Auf 198 Seiten haben die mißtrauischen Partner das Risiko ihrer Kooperation einzugrenzen versucht.,"This sentence refers to social roles and behavior as a social group, specifically ""car drivers"".",1,1,0.021380471,1995-07-07,car drivers,Zeit,Germany,1995.0,1990.0,0.0009306550209309463,1,0,0,0.9708134,1
9,Auf 198 Seiten haben die mißtrauischen Partner das Risiko ihrer Kooperation einzugrenzen versucht.,"This sentence refers to social roles and behavior as a social group, specifically ""patients"".",1,1,0.022994407,1995-07-07,patients,Zeit,Germany,1995.0,1990.0,0.0010024882057796107,1,0,0,0.97578114,1
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to social roles and behavior as a social group, specifically ""consumers and clients"".",1,1,0.019967463,2023-08-26,consumers and clients,Spiegel,Germany,2023.0,2020.0,0.000867950555046739,1,0,0,0.96759754,1
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to social roles and behavior as a social group, specifically ""car drivers"".",1,1,0.019249367,2023-08-26,car drivers,Spiegel,Germany,2023.0,2020.0,0.0008361501449944855,1,0,0,0.9708134,1
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to social roles and behavior as a social group, specifically ""patients"".",1,1,0.019633148,2023-08-26,patients,Spiegel,Germany,2023.0,2020.0,0.0008531400909027799,1,0,0,0.97578114,1
17,"Bis jetzt habe es immer gereicht an Spenden und Engagement der Familien, sagt Rosinger.","This sentence refers to social roles and behavior as a social group, specifically ""consumers and clients"".",1,1,0.020330217,2015-03-31,consumers and clients,SZ,Germany,2015.0,2010.0,0.0008840318306154018,1,0,0,0.96759754,1
17,"Bis jetzt habe es immer gereicht an Spenden und Engagement der Familien, sagt Rosinger.","This sentence refers to social roles and behavior as a social group, specifically ""car drivers"".",1,1,0.019371446,2015-03-31,car drivers,SZ,Germany,2015.0,2010.0,0.0008415531903002022,1,0,0,0.9708134,1
17,"Bis jetzt habe es immer gereicht an Spenden und Engagement der Familien, sagt Rosinger.","This sentence refers to social roles and behavior as a social group, specifically ""patients"".",1,1,0.020520408,2015-03-31,patients,SZ,Germany,2015.0,2010.0,0.000892467755261021,1,0,0,0.97578114,1
