hypothesis_label,bucket,prob_entail,premise,outlet,year
CEOs and corporate leaders,false_positive,0.99,"Ou bien d'en faire un Neuilly de l'an 2000, terre de prédilection de sièges sociaux d'entreprises internationales ?",Monde,1995.0
CEOs and corporate leaders,false_positive,0.995,"Die Betriebsratsvorsitzende von Nokia Bochum, Gisela Achenbach, sagte bei einer ""alternativen Bilanz-Pressekonferenz"" vor den Werkstoren, die Mitarbeiter der Bochumer Fabrik hätten großen Anteil am Erfolg.---""Wir haben hier am Ort 15 Prozent Rendite erwirtschaftet"", sagte Achenbach.",Welt,2008.0
CEOs and corporate leaders,false_positive,0.985,"» Après les élections de décembre 1998, les nouveaux dirigeants constatent les énormes besoins de la population en matière de santé, d’éducation, de logements, d’alimentation.",MondeDiplo,2000.0
CEOs and corporate leaders,false_positive,0.996,"Là, syndicalistes, patrons, hauts fonctionnaires, experts « communiaient dans un oecuménisme irénique » : un seul objectif, la lutte contre le chômage.",Monde,1995.0
CEOs and corporate leaders,false_positive,0.997,"Philippe Germond, le PDG de Cegetel qui vient d'être nommé directeur général délégué pour les technologies et la stratégie de distribution au sein de Vivendi Universal, a prévenu qu'il ne se passerait rien d'extraordinaire le 23 septembre, date de l'arrivée à échéance du pacte d'actionnaires.",Figaro,2002.0
CEOs and corporate leaders,false_positive,0.997,La capacité des « europreneurs » à diriger les entreprises en équipe serait aussi plus prononcée que dans les deux autres pôles de la triade.,Monde,1995.0
CEOs and corporate leaders,false_negative,0.002,"»  « Les sept groupes proposent aux cadres de travailler 217 jours par an, ce qui revient à leur accorder seulement sept jours de repos supplémentaires.",Parisien,2000.0
CEOs and corporate leaders,false_negative,0.984,"Viele Unternehmenschefs sind verunsichert, weil China seine Rolle als globale Wachstumslokomotive verliert, die auch Deutschlands Unternehmen lange mitzog.",SZ,2015.0
CEOs and corporate leaders,false_negative,0.973,"Parce qu'en cas du décès d'un proche il suffit des larmes sans en plus y rajouter les impôts.---Ainsi, la France libérée va voir arriver quartiers généraux des multinationales, cadres supérieurs, capitaux, entreprises et entrepreneurs pendant qu'en quelques semaines, par anticipation rationnelle, la demande va s'accroître, l'offre du travail s'accélérer, la croissance décoller et, comme par enchantement, le chômage, peu à peu, disparaître.---La raison, c'est évidemment oui aux parités fixes d'une monnaie commune mais non à la dérive fédérale et mondiale de l'Europe de Maastricht, de Schengen et du libre-échange.",Figaro,2002.0
CEOs and corporate leaders,false_negative,0.91,"---""Die Fusion stärkt jenseits der Frage des Holdingsitzes in vielen Bereichen den Standort Frankfurt, und den Londoner Vertretern ist auch klar, dass für sie nach dem Brexit die Verbindung nach  Frankfurt an Wert gewinnt"", sagt der Fondsmanager eines großen Deutsche-Börse-Aktionärs.",FAZ,2021.0
