hypothesis_label,bucket,prob_entail,premise,outlet,year
athletes,false_positive,0.999,"Ich war einfach heiß darauf, herauszugehen und einen Sieg mit den Fans zu feiern.",Bild,2022.0
athletes,false_positive,0.999,"Als Finalistin hätte ich sicherlich noch ein paar Sponsoren herangezogen, oder diejenigen, die ich damals hatte, wären noch ein wenig höher gegangen mit ihren Zuwendungen.",SZ,2017.0
athletes,false_positive,0.999,"Ihr Fazit: Selbst wenn es die Einheiten nicht schafften, einen Fall zu lösen, konnten sie bisweilen Gewissheiten erreichen, die den Hinterbliebenen halfen.",Spiegel,2023.0
athletes,false_positive,0.999,"Es ist demnach nur noch eine Frage der Zeit, bis sich die Bedenken gegen politische Golfer mit dem Hinweis auf ihre Dienste für die Völkerverständigung entkräften lassen.",Zeit,1995.0
athletes,false_positive,0.998,"Und für schamhafte Spieler unter seinen ehemaligen Kollegen hat er nur Verachtung übrig: ""Ein Politiker von einiger Qualität wird in seiner Freizeit das tun, was er gerne tut; wenn er ein schlechter Politiker ist, sollte er die Hände vom Golf lassen.""",Zeit,1995.0
athletes,false_positive,0.998,"Der Verein selbst finanziert sich ausschließlich aus Spenden, Sponsoren und seinem halbjährlichen Kaffee- und Kuchenverkauf.",SZ,2015.0
athletes,false_negative,0.997,"Aussi, les Cergypontaines aborderont-elles la rencontre de ce soir avec sérieux devant des Alsaciennes qui joueront à fond leur dernière carte pour le maintien.",Parisien,2000.0
athletes,false_negative,0.011,"Au son du fameux « I will survive », les Beauvaisiens saluent leur public.",Parisien,2000.0
athletes,false_negative,0.996,"Piégés sur deux corners, les Essonniens paient cash deux moments d'inattention.",Parisien,2000.0
athletes,false_negative,0.997,Stattdessen dürfte es gerade im Münchner Raum bald viele Derbys geben - allerdings stehen noch nicht alle Teilnehmer fest.,SZ,2016.0
athletes,false_negative,0.044,LES COUREURS de l'ACBB ne seront pas demain au départ du Circuit berrichon.,Parisien,2000.0
athletes,false_negative,0.821,"Am besten geben die Borussen die Antwort dort, wo die Kugel rollt - auf dem Platz ---Weblink:",Bild,2021.0
athletes,true_positive,0.999,"Beaucoup d'efforts ont été faits à tous les niveaux au sein du club, joueurs, entraîneurs et dirigeants, mais nous savons ce qui nous attend.",Parisien,2000.0
athletes,true_positive,0.999,"Die Radsportler hingegen, deren Überlegenheit dieser Tage Konkurrenten daran zweifeln lässt, ob bei den Briten alles  mit rechten Dingen zugeht, erhielten nach ihren zwölf Londoner Medaillen weitere 4,2 Millionen Pfund und werden jetzt mit 30,2 Millionen Pfund gefördert.",FAZ,2021.0
athletes,true_positive,0.998,"Denn bis auf die grippekranken Franck Ribery, Daniel van Buyten, Lukas Podolski und den nach seiner Sprunggelenksverletzung noch nicht einsatzfähigen Marcell Jansen, wimmelte es unter strömenden Regen nur so vor Stars und Spielern, die schon bald ihren Anspruch auf Einsätze geltend machen werden.",Welt,2008.0
athletes,true_positive,0.998,"Wir können dir zwar keine Million bieten, aber ein kühles Blondes nach dem Spiel und Männer mit Ehrgeiz.""",Bild,2022.0
athletes,true_positive,0.999,---Der deutsche Sport steckt mitten in der Umstrukturierung seiner Spitzensportförderung.,FAZ,2021.0
athletes,true_positive,0.999,"Comme l'ensemble des équipes françaises, BigMat viendra à la chasse aux points pour le classement général de la Coupe de France.",Parisien,2000.0
authors and artists,false_positive,0.999,"Tout cela été progressivement balayé, note-t-il, par la présence de stars de cinéma, de réalisateurs confirmés puis par de jeunes metteurs en scène. '",Figaro,2002.0
authors and artists,false_positive,0.997,"Auteur répugnant, rageait-on en son temps, il est à la littérature ce que les tenanciers de music hall sont à l'art dramatique et son inspiration ne se situe guère au-dessus de l'entresol. '",Figaro,2002.0
authors and artists,false_positive,0.999,"Unter den teilnehmenden Künstlern der Eröffnungszeremonie der Olympischen Spiele 1936 in Berlin war auch der international gefeierte männliche Protagonist des deutschen Ausdruckstanzes, und als 1939 in München der ""Tag der deutschen Kunst"" zelebriert wurde, konnten die Veranstalter des Festspiels ""Triumph des Lebens"" auch Harald Kreutzberg als Mitwirkenden nennen.",Zeit,1995.0
authors and artists,false_positive,0.998,Wie in München streifen sich die Japaner ihre Lederhosen- und Dirndlverkleidung über und wippen zum Takt einer japanischen Blaskapelle mit bayerischem Gesang japanischer Prägung.,SZ,2016.0
authors and artists,false_positive,0.999,Für das Publikum ist er seit den siebziger Jahren der Multi der Kunst.,Zeit,1995.0
authors and artists,false_positive,0.998,"(DR/ ©Sarah Faraud) Un festival de musique électronique (Seconde Nature) annulé au dernier moment à Aix-en-Provence, un célèbre festival de danse contemporaine (le Festival de Marseille) délogé du port marseillais par la CGT à un mois de son édition et un autre (Marsatac) de musiques nouvelles qui, sans lieu pérenne, songe à quitter sa ville d’origine.",Mediapart,2009.0
authors and artists,false_negative,0.001,"Après avoir été ignorée par les mélomanes français, Clara Haskil était devenue l'une de leurs idoles.",Monde,1995.0
authors and artists,false_negative,0.991,Die alte Kunst wird in Gestalt der Ballerinen in Ölfässer gesteckt und von der Bühne gerollt.,Zeit,1995.0
authors and artists,false_negative,0.997,"Wer nach einem Schauspieler sucht, kann biographische Daten oder Zitate sehen sowie andere Personen, nach denen Nutzer oft suchen.",FAZ,2021.0
authors and artists,false_negative,0.997,"Über 20 Jahre betreut er schon die Stars und Sternchen der UK-Version ""I'm a Celebrity   Get Me Out of Here"".---Jetzt hat der Camp-Doc selbst den legendären Satz gerufen: Ich bin ein Star, holt mich hier raus!---Denn Dr. Bob macht Schluss mit Urwald-TV.",Bild,2022.0
