hypothesis_label,bucket,prob_entail,premise,outlet,year
car drivers,false_positive,0.988,"Dass am nächsten Tag den Leuten im Lager Lebensmittel und Diesel zum Heizen ihrer Wagen ausgegangen wären, störte ihn nicht.",Welt,2008.0
car drivers,false_positive,0.99,"Malgré son souhait de développer la voiture à hydrogène, l'eurodéputée FN ne remet pas en cause le transport sur route et le tout voiture - elle s'est d'ailleurs opposée à l'écotaxe ou à la taxation du diesel - et elle dénonce «l'écologie punitive» comme l'interdiction de circulation sur les voies sur berges à Paris.",Liberation,2001.0
car drivers,false_positive,0.993,"Das bedeutet: die Nutzer sparen nicht nur beim Fahren, sondern auch beim Wohnen.---Auf Platz 2: das Hotel The Westin Grand in Bogenhausen.",Bild,2022.0
car drivers,false_positive,0.961,"»Hier werden die größten Zuwächse prognostiziert, und hier gilt es gegenzusteuern und deutlich mehr Verkehr auf Schiene und Wasserstraße zu verlagern.«---Die FDP dagegen warnt davor, die aktuellen Zähldaten überzubewerten.",Spiegel,2023.0
car drivers,false_positive,0.997,"Insbesondere die Parkplatzsituation sollten die Teilnehmer bei ihrer Zeitplanung berücksichtigen, denn innerhalb Feldafings sind Kfz-Stellplätze rar.",SZ,2016.0
car drivers,false_positive,0.989,"Les constructeurs automobiles et les autres industries exportatrices étaient dans le vert grâce à la fermeté du dollar contre le yen, après les récentes hausses de la monnaie japonaise.",Figaro,2002.0
car drivers,false_negative,0.026,"Les automobilistes ne sont visiblement pas favorables à la création de voies dédiées aux bus sur l'A 4, comme le propose l'Actep (l'Association des collectivités territoriales de l'Est Parisien, qui réunit 14 communes et les conseils généraux du Val-de-Marne et de Seine-Saint-Denis).",Parisien,2011.0
car drivers,false_negative,0.016,"LES AUTOMOBILISTES profiteront ce matin d'une baisse de 6 à 7 centimes par litre pour l'essence sans plomb et de 4 à 5 centimes pour le gazole grâce à la réduction de TVA, en attendant qu'un recul du pétrole sur les marchés mondiaux n'accentue le mouvement.",Parisien,2000.0
car drivers,false_negative,0.944,"Dans un premier temps, il compte dépasser le cap du 800e tapis.---http : / /tapisdesouris.free.fr---Circuit---Tous les possesseurs de voiture sportive le déplorent, il n'est pas possible d'utiliser sur route toutes les possibilités de son véhicule.",Figaro,2002.0
car drivers,false_negative,0.01,"Für Handwerker, die häufig auf diesel-getriebene Transporter angewiesen sind, soll es Ausnahmeregeln geben.---Gegen die Pläne wettert allerdings Michael Haberland (55), Chef des Autoclubs ""Mobil in Deutschland e.V.",Bild,2022.0
car drivers,false_negative,0.012,"Ce week-end, des panneaux « routes ouvertes » figureront également aux intersections pour guider les usagers.",Parisien,2000.0
car drivers,false_negative,0.953,"Ces crédits, qui sont en fait des reliquats du contrat de plan 2000-2006, devraient permettre aux 80 000 automobilistes quotidiens d'éviter deux carrefours et d'emprunter une deux fois deux voies sans feux rouges entre la N 406 et la gare de Boissyâ?¦ en 2011",Parisien,2009.0
car drivers,true_positive,0.974,"Plusieurs dizaines de conducteurs ont manifesté sur leur deux-roues, ce samedi après-midi à Paris, contre l’établissement d’un contrôle technique pour leurs véhicules, décidé par le Conseil d’Etat, mais aussi contre le stationnement payant des deux roues, en vigueur dans la capitale depuis septembre.Rendez-vous avait été donné en début d’après-midi à l’Avenue Foch d’où les motards se sont élancés en parcourant au ralenti les rues de la capitale.« On est une plus-value en terme de mobilité et de pollution dans les grandes villes, par rapport à la voiture », a estimé Jean-Marc Belotti, coordinateur à Paris de la Fédération des motards en colère.",Parisien,2022.0
car drivers,true_positive,0.995,"Ceux des automobilistes qui préfèrent acheter des voitures étrangères, car elles demeurent moins chères, prennent aussitôt le relais.",MondeDiplo,2009.0
car drivers,true_positive,0.997,Die Polizei hielt Fußgänger und Autofahrer besonders häufig in schwarzen Stadtteilen an.,FAZ,2021.0
car drivers,true_positive,0.994,Les représentants des conducteurs de VTC ont prévenu qu’ils pourraient relancer la mobilisation s’ils n’obtenaient pas satisfaction.,Monde,2016.0
car drivers,true_positive,0.976,"---Offenbar hatten Autofahrer den Brand in dem 30 Quadratmeter großen Gebäude entdeckt, den Notruf gewählt.",Bild,2022.0
car drivers,true_positive,0.994,''« Die Überreaktion mancher Polizisten gegen die Verkehrsverstöße deutscher Autofahrer kommt nicht von ungefähr.,Spiegel,1995.0
consumers and clients,false_positive,0.995,"Il doit notamment imaginer les solutions informatiques qui permettront aux internautes de voyager de page en page, selon les programmes.",Parisien,2000.0
consumers and clients,false_positive,0.972,Formal steht Pistorius in der Rangordnung der »Bedarfsträger« auf Platz zehn.,Spiegel,2023.0
consumers and clients,false_positive,0.987,"---RELIGIEUSE À LA ROSE ---Ladurée ---Pour tout visiteur dans la capitale, le parcours obligé aux Champs-Elysées passe par Ladurée.",Figaro,2002.0
consumers and clients,false_positive,0.952,Besucher kommen nie hierher.,Zeit,1995.0
consumers and clients,false_positive,0.976,"Mit weisem, gütigem Blick schauen die Herren auf den Beschauer herab, in den Händen schicksalsträchtige Dokumente.",Welt,2008.0
consumers and clients,false_positive,0.994,Spectateurs : 4 000.,Parisien,2000.0
consumers and clients,false_negative,0.007,"Renditehungrige Sparer müssen dann zum nächsten Institut wechseln, um die ""beste"" Verzinsung zu bekommen.---Weil das sehr müßig ist, bietet die HypoVereinsbank (HVB) jetzt das ""Best Tagesgeld Zertifikat"" an.",Welt,2008.0
consumers and clients,false_negative,0.953,"Die Gäste verteilen sich an schweren Tischen und haben überall prächtige Fotos von ""La Nilsson"" im Blick.",FAZ,2021.0
consumers and clients,false_negative,0.946,"Or, compte tenu du niveau déjà énorme des coûts commerciaux dans le prix de revient d'une voiture (jusqu'à 30 %, estiment certains experts), les constructeurs ne pourront reprendre à leur compte l'intégralité de cette prime à laquelle les clients se seront habitués.",Monde,1995.0
consumers and clients,false_negative,0.003,"Inscription à la Fontaine 250 F (200 F aux adhérents), fournitures comprises.",Parisien,2000.0
consumers and clients,false_negative,0.957,"---Sehr gern würde man Fragen stellen, an die Betreiber und die Gäste.",Spiegel,2023.0
consumers and clients,false_negative,0.954,"L'année aura été particulièrement mauvaise pour les secteurs d'activité dépendants des dépenses des consommateurs, plus prudents que jamais.",Monde,1995.0
consumers and clients,true_positive,0.973,"Wenn Kunden über einen elektronischen Knopf an ihrer Waschmaschine über das W-Lan das führende Waschmittel über die führende  Plattform erwerben, könnte das Dogma von der der Angreifbarkeit der digitalen Märkte erste Risse erhalten.",FAZ,2021.0
consumers and clients,true_positive,0.986,"---In bewährter Manier ihrer zahllosen Verbraucherbeiträge für ARD-Magazine haben die Autoren spektakuläre Beispiele parat, wie Verbraucher von ihren Vermittlern schlecht beraten wurden: eine  Geringverdienerin, der gleich vier Riesterverträge für ihre Kinder untergejubelt wurden, bis sie schließlich die Beitragszahlungen einstellen musste.",FAZ,2021.0
consumers and clients,true_positive,0.994,Dann könnte  der Nutzer einen Stromschlag bekommen.,FAZ,2021.0
consumers and clients,true_positive,0.986,"Von den Gästen kam offensiv nahezu nichts mehr, Negele entwickelte mit seiner Schnelligkeit immer wieder Gefährliches.",SZ,2015.0
consumers and clients,true_positive,0.98,Reichert will sich anwaltlich beraten lassen.---Zuletzt gab's massive Kritik von Gästen.,Bild,2022.0
consumers and clients,true_positive,0.981,"Den Spagat zwischen Kind und Karriere zu meistern, helfen Bengel & Engel aber nicht nur Kunden, sondern auch den eigenen Leuten: Vor wenigen Tagen hat Sozialsenatorin Birgit Schnieber-Jastram dem Ehepaar Dahl dafür das Hamburger Familiensiegel verliehen.",Welt,2008.0
patients,false_positive,0.99,"Vorsitzender Timo Stockhorst (32, SPD): ""Sie trifft ausgerechnet die, die durch die Schließung der Grenzen in der Corona-Pandemie besonders gelitten haben.""",Bild,2022.0
patients,false_positive,0.957,"---Verheerendste Eröffnungsbilanz---Sozialpädagogin Werth hat 1993 die erste ""Tafel"" für Notleidende gegründet.",Bild,2022.0
patients,false_positive,0.977,"Die restlichen 20 Prozent bekommen leichtes Fieber, Ausschlag, gelegentlich Gelenkschmerzen und eine Bindehautentzündung.---  Bei einer Infektion im ersten Drittel der Schwangerschaft ist jedoch offenbar das Risiko für schwere Schädelfehlbildung bei Neugeborenen erhöht.",SZ,2016.0
patients,false_positive,0.992,"Il faut être malade pour venir s'installer au bord de la route à cinq heures du matin, dans le froid et la pluie, pour attendre des coureurs qui vont passer plusieurs heures après / C'est une course unique où on voit des choses uniques.",Figaro,2002.0
patients,false_positive,0.979,"Das Kunststück gelang mit dem Angebot einer Alternative, die zudem den Kassen-Wettbewerb beflügeln soll: Die Krankenkassen sollen ihren Versicherten die Wahl einräumen, gegen Zu- und Abschläge von Beiträgen bestimmte Leistungen zu- oder abzuwählen.",Zeit,1995.0
patients,false_positive,0.994,"Heute kommen statt Landsern kranke OFWs, so heißen im Jargon der Sozialbehörde Menschen ohne festen Wohnsitz.",Zeit,1995.0
patients,false_negative,0.017,Für den Herbst raten sie Risikogruppen zur Auffrischung der Impfung   mit der dann vermutlich verfügbaren angepassten Vakzine.,Spiegel,2023.0
patients,false_negative,0.949,"Wuermelings behutsames Plädoyer machte deutlich, daß im medizinischen Alltag der Orientierung am Wohlergehen des einzelnen Patienten kein reines Forschungsinteresse gegenübersteht, das im Falle der Kollision zurücktreten muß.",Zeit,1995.0
patients,false_negative,0.005,"So lernten die Betroffenen unter anderem, die Emotionen anderer  Menschen richtig zu deuten, sich besser auszudrücken und ihren Alltag zu bewältigen.",FAZ,2021.0
patients,false_negative,0.029,"Die beiden wichtigsten Zahlen:---  18,1 % der Hessen sind adipös, krankhaft fettleibig - also fast jeder Fünfte!",Bild,2022.0
patients,false_negative,0.947,Patienten oder Pfleger merken sich anhand der Farbe etwa den Zeitpunkt der Tabletten-Einnahme besser.,Bild,2022.0
patients,false_negative,0.951,"Ein Anwalt skizziert darin auf 20 Seiten ein mutmaßlich von Masin aufgesetztes Korruptionssystem im Bereich der parenteralen Ernährung.---Die Ermittler forderten Einblicke in verschiedene Konten, sprachen mit Vertretern mehrerer Krankenkassen und werteten Patientendaten aus.",Spiegel,2023.0
patients,true_positive,0.986,"Aux Etats-Unis, en effet, ces molécules par nature incapables de générer du profit ont été explicitement reconnues et leur fabrication stimulée « sous l'impulsion conjointe des associations de malades, d'une mobilisation du Congrès et d'un partenariat entre l'industrie pharmaceutique et l'administration ».",Monde,1995.0
patients,true_positive,0.985,"Wie sie im ""Schizophrenia Bulletin""  (doi:10.1093/schbul/sbv020) berichteten, gelang es den rund zwanzig Patienten, die außer den kognitiven Übungen wöchentlich 90 Minuten lang auf dem Ergometer trainiert hatten, am Ende der  dreimonatigen Studie sehr viel besser als zuvor, soziale Kontakte zu knüpfen, sich auszudrücken und Alltagstätigkeiten wie Einkaufen zu erledigen.",FAZ,2021.0
patients,true_positive,0.994,"Um das enorme Leid der Patienten zu lindern, suchen Forscher in aller Welt seit Jahren nach weniger belastenden Therapien.",FAZ,2021.0
patients,true_positive,0.979,"Hinzu komme, dass die Betroffenen aufgrund der Behandlung mit Antipsychotika oftmals stark zunehmen.",FAZ,2021.0
patients,true_positive,0.995,Bis zu vier Mitarbeiter vermittelten dort im ersten Jahr knapp 2000-mal zwischen Ärzten und Patienten.,SZ,2016.0
patients,true_positive,0.987,"Die Patienten, die nur zu tief ins Glas geschaut haben, bleiben in der Sanitätsstation um auszunüchtern.""",Bild,2022.0
