sentence_id,premise,hypothesis,nli_label,pred_label,prob_entail,date,hypothesis_label,outlet,country,year
7,"Sie präsentiert aber auch viele Antworten und führt den Besucher klug durch eine spannende Epoche, die nach dem Zweiten Weltkrieg den Kunstbegriff neu definieren und besetzen wollte und deren Ideen bis heute aktuell sind.","This sentence refers to socio-economic position as a social group, specifically ""lower class"".",1,1,0.00011844593,2016-11-10,lower class,SZ,Germany,2016.0
7,"Sie präsentiert aber auch viele Antworten und führt den Besucher klug durch eine spannende Epoche, die nach dem Zweiten Weltkrieg den Kunstbegriff neu definieren und besetzen wollte und deren Ideen bis heute aktuell sind.","This sentence refers to socio-economic position as a social group, specifically ""middle class"".",1,1,9.094997e-05,2016-11-10,middle class,SZ,Germany,2016.0
7,"Sie präsentiert aber auch viele Antworten und führt den Besucher klug durch eine spannende Epoche, die nach dem Zweiten Weltkrieg den Kunstbegriff neu definieren und besetzen wollte und deren Ideen bis heute aktuell sind.","This sentence refers to socio-economic position as a social group, specifically ""upper class"".",1,1,0.00011657579,2016-11-10,upper class,SZ,Germany,2016.0
7,"Sie präsentiert aber auch viele Antworten und führt den Besucher klug durch eine spannende Epoche, die nach dem Zweiten Weltkrieg den Kunstbegriff neu definieren und besetzen wollte und deren Ideen bis heute aktuell sind.","This sentence refers to socio-economic position as a social group, specifically ""capital owners, investors and shareholders"".",1,1,0.0001701355,2016-11-10,"capital owners, investors and shareholders",SZ,Germany,2016.0
7,"Sie präsentiert aber auch viele Antworten und führt den Besucher klug durch eine spannende Epoche, die nach dem Zweiten Weltkrieg den Kunstbegriff neu definieren und besetzen wollte und deren Ideen bis heute aktuell sind.","This sentence refers to socio-economic position as a social group, specifically ""unskilled or unqualified"".",1,1,0.00010255155,2016-11-10,unskilled or unqualified,SZ,Germany,2016.0
7,"Sie präsentiert aber auch viele Antworten und führt den Besucher klug durch eine spannende Epoche, die nach dem Zweiten Weltkrieg den Kunstbegriff neu definieren und besetzen wollte und deren Ideen bis heute aktuell sind.","This sentence refers to socio-economic position as a social group, specifically ""skilled or qualified"".",1,1,0.00017098247,2016-11-10,skilled or qualified,SZ,Germany,2016.0
9,Auf 198 Seiten haben die mißtrauischen Partner das Risiko ihrer Kooperation einzugrenzen versucht.,"This sentence refers to socio-economic position as a social group, specifically ""lower class"".",1,1,0.0001403861,1995-07-07,lower class,Zeit,Germany,1995.0
9,Auf 198 Seiten haben die mißtrauischen Partner das Risiko ihrer Kooperation einzugrenzen versucht.,"This sentence refers to socio-economic position as a social group, specifically ""middle class"".",1,1,8.8593646e-05,1995-07-07,middle class,Zeit,Germany,1995.0
9,Auf 198 Seiten haben die mißtrauischen Partner das Risiko ihrer Kooperation einzugrenzen versucht.,"This sentence refers to socio-economic position as a social group, specifically ""upper class"".",1,1,9.342204e-05,1995-07-07,upper class,Zeit,Germany,1995.0
9,Auf 198 Seiten haben die mißtrauischen Partner das Risiko ihrer Kooperation einzugrenzen versucht.,"This sentence refers to socio-economic position as a social group, specifically ""capital owners, investors and shareholders"".",1,1,0.00030019422,1995-07-07,"capital owners, investors and shareholders",Zeit,Germany,1995.0
9,Auf 198 Seiten haben die mißtrauischen Partner das Risiko ihrer Kooperation einzugrenzen versucht.,"This sentence refers to socio-economic position as a social group, specifically ""unskilled or unqualified"".",1,1,8.372223e-05,1995-07-07,unskilled or unqualified,Zeit,Germany,1995.0
9,Auf 198 Seiten haben die mißtrauischen Partner das Risiko ihrer Kooperation einzugrenzen versucht.,"This sentence refers to socio-economic position as a social group, specifically ""skilled or qualified"".",1,1,8.7540226e-05,1995-07-07,skilled or qualified,Zeit,Germany,1995.0
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to socio-economic position as a social group, specifically ""lower class"".",1,1,0.000104457875,2023-08-26,lower class,Spiegel,Germany,2023.0
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to socio-economic position as a social group, specifically ""middle class"".",1,1,7.767672e-05,2023-08-26,middle class,Spiegel,Germany,2023.0
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to socio-economic position as a social group, specifically ""upper class"".",1,1,7.7437384e-05,2023-08-26,upper class,Spiegel,Germany,2023.0
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to socio-economic position as a social group, specifically ""capital owners, investors and shareholders"".",1,1,9.902252e-05,2023-08-26,"capital owners, investors and shareholders",Spiegel,Germany,2023.0
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to socio-economic position as a social group, specifically ""unskilled or unqualified"".",1,1,7.3037416e-05,2023-08-26,unskilled or unqualified,Spiegel,Germany,2023.0
11,"Das Verhalten der Protestler ist ein verzweifelter Hilferuf, um die untätige Politik in Sachen Umweltschutz zum Handeln zu bewegen.","This sentence refers to socio-economic position as a social group, specifically ""skilled or qualified"".",1,1,7.123122e-05,2023-08-26,skilled or qualified,Spiegel,Germany,2023.0
18,Trotz noch vorhandener technischer Probleme wollen die ungleichen Partner schon 1996 mit Profigeräten für Kinos oder Werbetreibende auf den Markt.,"This sentence refers to socio-economic position as a social group, specifically ""lower class"".",1,1,0.00016167773,1995-07-07,lower class,Zeit,Germany,1995.0
18,Trotz noch vorhandener technischer Probleme wollen die ungleichen Partner schon 1996 mit Profigeräten für Kinos oder Werbetreibende auf den Markt.,"This sentence refers to socio-economic position as a social group, specifically ""middle class"".",1,1,9.447432e-05,1995-07-07,middle class,Zeit,Germany,1995.0
18,Trotz noch vorhandener technischer Probleme wollen die ungleichen Partner schon 1996 mit Profigeräten für Kinos oder Werbetreibende auf den Markt.,"This sentence refers to socio-economic position as a social group, specifically ""upper class"".",1,1,9.972736e-05,1995-07-07,upper class,Zeit,Germany,1995.0
18,Trotz noch vorhandener technischer Probleme wollen die ungleichen Partner schon 1996 mit Profigeräten für Kinos oder Werbetreibende auf den Markt.,"This sentence refers to socio-economic position as a social group, specifically ""capital owners, investors and shareholders"".",1,1,0.00023334465,1995-07-07,"capital owners, investors and shareholders",Zeit,Germany,1995.0
18,Trotz noch vorhandener technischer Probleme wollen die ungleichen Partner schon 1996 mit Profigeräten für Kinos oder Werbetreibende auf den Markt.,"This sentence refers to socio-economic position as a social group, specifically ""unskilled or unqualified"".",1,1,0.00013615105,1995-07-07,unskilled or unqualified,Zeit,Germany,1995.0
18,Trotz noch vorhandener technischer Probleme wollen die ungleichen Partner schon 1996 mit Profigeräten für Kinos oder Werbetreibende auf den Markt.,"This sentence refers to socio-economic position as a social group, specifically ""skilled or qualified"".",1,1,9.774271e-05,1995-07-07,skilled or qualified,Zeit,Germany,1995.0
22,"---Ausschussvorsitzender Winfried Bausback (56, CSU): ""Der Vorgang ist in den Akten völlig transparent.","This sentence refers to socio-economic position as a social group, specifically ""lower class"".",1,1,0.00011397232,2022-10-06,lower class,Bild,Germany,2022.0
22,"---Ausschussvorsitzender Winfried Bausback (56, CSU): ""Der Vorgang ist in den Akten völlig transparent.","This sentence refers to socio-economic position as a social group, specifically ""middle class"".",1,1,8.3427985e-05,2022-10-06,middle class,Bild,Germany,2022.0
22,"---Ausschussvorsitzender Winfried Bausback (56, CSU): ""Der Vorgang ist in den Akten völlig transparent.","This sentence refers to socio-economic position as a social group, specifically ""upper class"".",1,1,9.96515e-05,2022-10-06,upper class,Bild,Germany,2022.0
22,"---Ausschussvorsitzender Winfried Bausback (56, CSU): ""Der Vorgang ist in den Akten völlig transparent.","This sentence refers to socio-economic position as a social group, specifically ""capital owners, investors and shareholders"".",1,1,0.00012709272,2022-10-06,"capital owners, investors and shareholders",Bild,Germany,2022.0
22,"---Ausschussvorsitzender Winfried Bausback (56, CSU): ""Der Vorgang ist in den Akten völlig transparent.","This sentence refers to socio-economic position as a social group, specifically ""unskilled or unqualified"".",1,1,7.928141e-05,2022-10-06,unskilled or unqualified,Bild,Germany,2022.0
22,"---Ausschussvorsitzender Winfried Bausback (56, CSU): ""Der Vorgang ist in den Akten völlig transparent.","This sentence refers to socio-economic position as a social group, specifically ""skilled or qualified"".",1,1,9.025586e-05,2022-10-06,skilled or qualified,Bild,Germany,2022.0
