sentence,id,year,HasGroup
Der eklatante Anstieg bei den Gewaltdelikten in den ersten neun Monaten dieses Jahres dürfte die Politiker aufgeschreckt haben.,9027604,2000.0,"[[93, 106, 'HasGroup']]"
Nach Schätzungen der Deutschen Gesellschaft für Schlafforschung und Schlafmedizin leidet jeder vierte Bundesbürger gelegentlich oder häufig an Schlafstörungen; davon brauche etwa jeder Sechste eine Therapie.,9038697,2000.0,"[[17, 81, 'HasGroup'], [89, 114, 'HasGroup'], [179, 192, 'HasGroup']]"
"Brigitte Kubik, Inhaberin von ""Daily Soup - die Suppenzentrale"" ist selbst große Suppenliebhaberin.",9038961,2000.0,"[[81, 98, 'HasGroup']]"
"Bei so vielen ""Widerspenstigen"" sei der Senat überfordert, glaubt Gernhardt: ""Das überlebt die Koalition nicht.""",9037000,2000.0,"[[7, 31, 'HasGroup']]"
"Rund 25 Millionen "".com""s und 3,5 Millionen "".de""s machen nahezu jede Namensidee für ein E-Commerce-Unternehmen gleich wieder zunichte.",9035007,2000.0,"[[85, 111, 'HasGroup']]"
Die Militärs und die Politiker haben sich darauf eingelassen.,9025028,2001.0,"[[0, 12, 'HasGroup'], [17, 30, 'HasGroup']]"
"Fast so wichtig ist, ob er dies tat, nachdem Popper ihm auf seine Frage nach einer allgemein gültigen philosophischen Einsicht mit dem Beispiel antwortete: ""Man soll einem Gast nicht mit dem Feuerhaken drohen.""",9007110,2001.0,"[[166, 176, 'HasGroup']]"
"Zu den Kaufinteressenten könnte die Deutsche Telekom gehören, heißt es auf dem Parkett.",9303137,2001.0,"[[3, 24, 'HasGroup']]"
"Das neue Inselhaus wurde auf einer Warft in Deichhöhe errichtet, damit das Wasser nie wieder solche Opfer fordert.",8932569,2002.0,"[[93, 105, 'HasGroup']]"
Seit Aufnahme der Fördertätigkeit im Jahr 1991 hat sie 4900 Projekte vor allem in kleinen und mittelständischen Unternehmen mit 930 Millionen Euro unterstützt.---KNA---Photovoltaikanlage auf dem Dach des Pfarramts im rheinland-pfälzischen Billigheim-Ingenheim,9283344,2002.0,"[[82, 123, 'HasGroup']]"
"Allerdings gibt es wenig Grund zum Feiern: Fing man 1992 mit 100 Beschäftigten an, schrumpfte die Belegschaft inzwischen auf zehn Angestellte.",8931722,2002.0,"[[61, 78, 'HasGroup'], [94, 109, 'HasGroup']]"
Der BUND kritisiert die Aktion als schweren Eingriff in das Ökosystem.,8891057,2003.0,"[[0, 8, 'HasGroup']]"
"Obwohl der Absatz der Premiummarken Dunhill, Kent und Pall Mall um acht Prozent stieg, fiel die Zahl der weltweit verkauften Zigaretten deshalb um vier Prozent auf 777 Mrd.",8902591,2003.0,"[[18, 63, 'HasGroup']]"
"Drohte noch kurz vor dem Scheitern mit Rücktritt und setzte seine Forderungen, diesmal gegenüber dem Bremer Kultursenator Kuno Böse (CDU), in einem Kompromiss weitgehend durch.---Die Stadt Bremen gehört nicht zu den reichsten in Deutschland.",8901656,2003.0,"[[133, 136, 'HasGroup']]"
"Bekanntlich wird der Verrat geliebt, nicht aber der Verräter.",8903088,2003.0,"[[49, 61, 'HasGroup']]"
"---Eine Entwicklung, die Konsequenzen für Bauherren hat: ""Kunden, die ihr Haus von einem Bauträger erstellen lassen, werden nach der Bauträgerverordnung erst mit Zahlung der letzten Rate Eigentümer von Haus und Grundstück"", erläutert Rechtsanwalt Bernhard-Dietrich Breloer, Vorstandsmitglied im Bauherren-Schutzbund.",8875677,2003.0,"[[42, 51, 'HasGroup'], [58, 115, 'HasGroup'], [187, 221, 'HasGroup'], [292, 315, 'HasGroup']]"
---Unterdessen hat die FDP Finanzminister Eichel schwere Versäumnisse vorgehalten.,8835207,2004.0,"[[19, 26, 'HasGroup']]"
"---Klemm kritisierte Pläne, im Zuge der Angleichung von Arbeiter- und Angestelltengehältern die Löhne in der Montage um bis zu 700 Euro im Monat zu senken.",8824657,2004.0,"[[56, 64, 'HasGroup'], [70, 82, 'HasGroup']]"
"""Gegen sämtliche Verantwortliche aus der Regierungsadministration und der Militärleitung wurde bisher weder ein Strafverfahren, in den meisten Fällen noch nicht mal ein Disziplinarverfahren eingeleitet"", heißt es in einer Mitteilung der Anwälte.---""Wir fordern daher die Bundesanwaltschaft auf, die Ermittlungen in dem Verfahren gegen Rumsfeld und andere aufzunehmen und damit der Straflosigkeit schlimmster Kriegsverbrechen ein Ende zu setzen"", heißt es in dem Schreiben.",8804481,2004.0,"[[7, 88, 'HasGroup']]"
"Seine Mission gilt als gescheitert, sogar die Bewohner des Balkans machen sich über die Mißerfolge inzwischen lustig.",8809791,2004.0,"[[42, 66, 'HasGroup']]"
"Der Aufsichtsrat begründete die Erhöhung unter anderem mit ""erfolgreichen Akquisition von Firmen wie PeopleSoft und Retek"" und der 29prozentigen Gewinnsteigerung des Konzerns gegenüber dem Vorjahr.",9168238,2005.0,"[[90, 121, 'HasGroup']]"
"Aber das sich heute in dem altehrwürdigen Gasthaus ""Zu den Rothen Forellen"" eines der wenigen Fünf-Sterne-Hotels verbirgt und mit Rene Bobzin der derzeit beste Koch Sachsen-Anhalts am Herd steht, keineswegs vermutet.---""Besuchen Sie unbedingt das Ilsetal"", hatte Jörg Steinhäuser den Besuchern am Abend zuvor in der täglich neu aufs Zimmer gelegten ""Forellenpost"" empfohlen.",8757044,2005.0,"[[76, 112, 'HasGroup']]"
Die Zahl der identifizierten Todesopfer aus Deutschland stieg unterdessen auf 477.,8781519,2005.0,"[[9, 55, 'HasGroup']]"
"Selbst Regierungsstatistiken räumen ein, daß chinesische Kumpel unter Tage 100mal gefährlicher leben als ihre angeblich so ausgebeuteten amerikanischen Kollegen und immer noch 30mal gefährlicher als Bergleute in südafrikanischen Minen.---Die frühkapitalistischen, oftmals nur noch als verbrecherisch zu bezeichnenden Zustände in chinesischen Bergwerken sind seit langem bekannt.",8794442,2005.0,"[[45, 63, 'HasGroup'], [105, 160, 'HasGroup'], [199, 234, 'HasGroup'], [329, 352, 'HasGroup']]"
Mit Wohlfahrtsverbänden müsse nun über Restbestände der Flutspenden von 2002 verhandelt werden.,8736436,2006.0,"[[4, 23, 'HasGroup']]"
"Während hier durchschnittlich rund zwölf Prozent der Beschäftigten an diesen Tagen Dienst tun, gehen etwa in der Slowakei 20 Prozent der Erwerbstätigen zur Arbeit.",8728214,2006.0,"[[49, 66, 'HasGroup'], [133, 151, 'HasGroup']]"
Susanne Tremper muss in ihrem schwarzen Kleid so unbeteiligt durch die Aufführung gehen wie ein Kleiderständer der Rache.---In Erwartung des Blutgeldes leisten sich die Güllener alle Schönheitsoperationen auf Pump.,8691992,2007.0,"[[165, 177, 'HasGroup']]"
