hypothesis_label,bucket,prob_entail,premise,outlet,year
drug addicts,false_positive,0.958,"Die Programme von Kind Financial helfen Marihuanabetrieben, ihr Geschäft zu dokumentieren und  sicherzustellen, dass sie im Einklang mit den gesetzlichen Vorgaben stehen.",FAZ,2021.0
drug addicts,false_positive,0.933,"Den meisten Bikern kann und wird die Vorschrift  schnuppe sein, denn sie fahren immer mit, auch im Hochsommer.",FAZ,2021.0
drug addicts,false_positive,0.941,"L'opinion et la justice américaine sont lassées des mensonges d'une industrie qui , durant plusieurs dizaines d'années , n'a cessé de masquer la nocivité de ses produits et d'organiser, pour en tirer de meilleurs profits, la dépendance des consommateurs.

Les progrès accomplis dans le domaine des neurosciences ont démontré que les mécanismes fondamentaux de dépendance induits par la consommation de tabac n'étaient pas différents de ceux résultant de l'usage des substances psychoactives illicites",Monde,2011.0
drug addicts,false_positive,0.975,---Von den rund 11 400 Teilnehmern dieser Olympischen Spiele von Rio de Janeiro werden Doping-Proben eingefroren werden.,FAZ,2021.0
drug addicts,false_positive,0.94,"Das Unternehmen bestreitet die Vorwürfe.---Gesamtweltcup-Spitzenreiter Axel Teichmann verwies darauf, dass die deutschen Sportler mit ihren unabhängigen Blutvolumenmessungen über das normale Maß hinaus den Antidopingkampf betreiben würden: ""Es hat in unserem Sport wie in anderen Sportarten auch schwarze Schafe gegeben.",Welt,2008.0
drug addicts,false_positive,0.977,"Certains seraient même forcés à vendre de la drogue pour le compte des islamistes, souligne l'hebdomadaire.",Monde,1995.0
drug addicts,false_negative,0.846,"Le risque est plus élevé pour les sportifs, les militaires, les taulards, les toxicomanes, les SDF, les enfants en crèche.",Figaro,2007.0
drug addicts,false_negative,0.935,"Ob es um ein Haschisch-Urteil geht oder um Hilfe für Süchtige, prompt warnen die Glaubenskrieger vor dem Ende der heilen Welt.",Zeit,1995.0
drug addicts,false_negative,0.842,"Hamburgs Christdemokraten reagierten damit auf eine Studie, die zeigte, dass die soziale Verelendung der Junkies in Hamburg bei einer kontrollierten Abgabe abnimmt.---Diese und viele andere Beispiele zeigen, dass die Christdemokraten in Hamburg nicht nur die klassische CDU-Klientel im Blick ihrer Politik haben.",Welt,2008.0
drug addicts,false_negative,0.914,"Les toxicomanes peuvent ainsi, vingt-quatre heures sur vingt-quatre, déposer leurs seringues usagées dans l'appareil, qui, après avoir vérifié automatiquement qu'elles sont complètes, avec aiguille et piston, leur délivrera un jeton qu'ils pourront utiliser dans un autre appareil, pour obtenir un stéribox, contenant deux seringues, un flacon d'eau distillée, deux tampons alcoolisés, un préservatif, et un bon pour un test gratuit de dépistage du sida.",Monde,1995.0
drug addicts,false_negative,0.908,"Elles ne sont pas prises au sérieux et les stéréotypes collent encore à la peau des victimes : ce ne sont « que » des toxicomanes, prostituées ou alcooliques.",Mediapart,2023.0
drug addicts,false_negative,0.947,"Comme avec de jeunes drogués, on a plutôt le sentiment d'une énergie intraitable, d'un roc, sous les mômeries et les abandons de souveraineté.",Monde,1995.0
drug addicts,true_positive,0.984,"Er sagte: ""Trinker sind leichter wieder aufs Gleis zu bringen.",Welt,2008.0
drug addicts,true_positive,0.987,"Das sind täglich Tausende.---Drogenkranke in allen Stadien des Verfalls, die sich dort ihren Schuss geholt haben.",Bild,2022.0
drug addicts,true_positive,0.987,Die Beratung und Hilfe in teils dringlichen Notsituationen ist für zahlreiche Drogenkonsumenten eine tägliche wichtige Stütze.,Bild,2022.0
drug addicts,true_positive,0.966,"«Il faut éviter que des consommateurs de drogue, n'ayant commis aucune autre infraction que celle de détenir de la drogue, se retrouvent en prison», précise la circulaire.",Liberation,1998.0
drug addicts,true_positive,0.95,"Le ministre de la santé indique que ces enquêtes "" ne prétendent pas recenser tous les toxicomanes, encore moins ceux qui font un usage occasionnel de la drogue "" et que beaucoup de toxicomanes "" refusent de se faire soigner dans les structures de soins traditionnelles "".

Mme Simone Veil rappelle enfin, que, selon les déclarations de l'ONU "" il apparaît que pour l'ensemble de l'Europe occidentale un accroissement sensible de l'abus de drogue est à constater, mais que la situation en France est beaucoup moins dramatique qu'aux États-Unis, par exemple "".",Monde,2021.0
drug addicts,true_positive,0.941,"Ich habe immer über Anti-Themen geschrieben, Nazis, Behinderte, Kranke, Verzweifelte, Trinker, Verfolgte.",Welt,2008.0
extremists,false_positive,0.977,"Sainte Martine, priez pour nous / Comme si les contraintes de toutes sortes, Europe, mondialisation, etc., condamnaient la gauche traditionnelle à mort.",Figaro,2002.0
extremists,false_positive,0.988,"Victime de multiples offensives de l’extrême droite depuis cet été, l’homme avait appelé à un rassemblement dans sa commune, ce samedi 30 septembre, après l’agression subie le week-end précédent.",Mediapart,2023.0
extremists,false_positive,0.956,"Hamburgs Christdemokraten reagierten damit auf eine Studie, die zeigte, dass die soziale Verelendung der Junkies in Hamburg bei einer kontrollierten Abgabe abnimmt.---Diese und viele andere Beispiele zeigen, dass die Christdemokraten in Hamburg nicht nur die klassische CDU-Klientel im Blick ihrer Politik haben.",Welt,2008.0
extremists,false_positive,0.987,"Les insurgés se sont engagés à ne pas attaquer les villes ni les grandes routes ni encore les principaux centres de sécurité et l’armée afghane et les troupes américaines, de leur côté, à ne pas lancer d’offensives.",Mediapart,2020.0
extremists,false_positive,0.94,"Sein Tod wurde zum Politikum, denn Corelli könnte Kontakte zum NSU gehabt haben.---  Er starb, bevor die Ermittler ihn zu einem Datenträger befragen konnten, der von Corelli stammte und auf dem schon vor Jahren von einem ,,Nationalsozialistischen Untergrund"" die Rede war.",SZ,2015.0
extremists,false_positive,0.979,"Si la gauche avait conservé des traces anciennes de culture marxiste, elle aurait reconnu la dialectique du vieux maître entre bourgeoisie et classes populaires, entre ' gavés ' et ' exploités '.",Figaro,2002.0
extremists,false_negative,0.812,"Dans ce même esprit, la main jaune ' Touche pas à mon pote ' de SOS-Racisme est systématiquement associée à des autocollants comportant trois petites mains tricolores ' pour ne pas laisser les emblèmes de la République à nos ennemis fascistes ', explique un militant.",Figaro,2002.0
extremists,false_negative,0.491,"Et à 12 heures, ce sont les militants anarchistes de la Confédération nationale du travail (CNT) qui ont rendez-vous place des Fêtes, dans le XIXe arrondissement, pour se diriger vers la place de la République.---Il est à craindre que ce groupuscule, dont les membres ne détestent pas la violence, ne tente de jouer les provocateurs.",Figaro,2002.0
extremists,false_negative,0.006,"« Il y a un front au sein du Front », lâche un membre du Comité, allusion au groupuscule de jeunes et moins jeunes recrutés par les organisations, dépourvus de formation politique mais fascinés par les armes.",Monde,1995.0
extremists,false_negative,0.846,Non je suis là avec mes potes pour dire à Le Pen que le racisme ne passera pas et que la banlieue sait s'unir contre les extrémistes. ',Figaro,2002.0
extremists,false_negative,0.02,---  Corelli war in der rechten Szene als Anlaufadresse für EDV-Fragen bekannt.,SZ,2015.0
extremists,false_negative,0.007,"« Le GUD est devenu un supplétif du régime syrien, les intérêts financiers de Frédéric Chatillon rejoignant ses intérêts politiques », estime l'ancien militant, qui apporte une autre illustration : « À cette époque, Chatillon rencontre Roger Garaudy, et achète les droits de son livre révisionniste Les Mythes fondateurs de l’État d'Israël pour l’Égypte.",Mediapart,2014.0
extremists,true_positive,0.981,"Ce moule du désert façonnera sans doute bien davantage le comportement de l'homme que les attaches qu'il nouera, une fois au pouvoir, avec des marxistes italiens, l'Union soviétique et certains pays de l'Est et, sur le tard, avec des nations occidentales.",Monde,1995.0
extremists,true_positive,0.932,"Trotz Pegida, trotz der Neonazi-Aufmärsche, trotz des seit der braunen Flut einbrechenden Tourismus.",FAZ,2021.0
extremists,true_positive,0.958,"Darunter auffällig viele Vertreter der AfD   vermutlich weil diese, wie es sich für ordentliche Patrioten gehört, bevorzugt in der Heimat urlauben.",Spiegel,2023.0
