id,text,outlet,country,year,labels,categories
200,"Ja, verdammt noch mal: Es gibt acht Millionen arme Menschen, eine Million Kinder, die von der Sozialhilfe leben, dreieinhalb Millionen Arbeitslose.",Zeit,Germany,1995,"lower class;minors, including children and pupils;unemployed",age_and_family_status;labor_market_position;socio_economic_position
533,"Er schlachtete außerdem den Widerstand  gegen die Entscheidung der Regierung und des Verfassungsgerichts, die Homo-Ehe und die Adoption von Kindern durch gleichgeschlechtliche Paare zuzulassen, für seine Zwecke aus.",FAZ,Germany,2021,"LGBTQIA+;minors, including children and pupils",age_and_family_status;identities
486,Statt dessen wollen Sie erst mal die Bündnisfähigkeit der Grünen gestreng prüfen .,Zeit,Germany,1995,politicians and high-ranking officials,profession
2076,"Zum Auftakt seiner Bewerbung um die Präsidentschaft erklärte der Republikaner: ""Es muß Schluß sein damit, daß wir die Agenda der Vereinten Nationen über die Interessen der Vereinigten Staaten stellen.""",Zeit,Germany,1995,,
1223,Doch der Obstbauer lässt seinen Stammkunden den Vortritt.,SZ,Germany,2018,consumers and clients,social_roles_and_behavior
5611,"Sie beschlossen ein Eckpunktepapier, in dem sie ein Fahrverbot insbesondere für junge Kriminelle verlangen.",Welt,Germany,2008,"offenders, criminals, prisoners and/or accused people;youth, including students and apprentices",age_and_family_status;social_deviance
2859,"In scharfem Ton weist sie sowohl den Verteidiger als auch den Ankläger immer wieder zurecht, lässt Beweismittel oder Fragen nicht zu, weist Einsprüche harsch ab.",Welt,Germany,2008,,
5859,"Gesamtschulen sollen ausgebaut werden, auch schon ab Klasse 1.",Bild,Germany,2022,,
456,"Dies gelte ebenfalls für Masins Geschäftsbeziehungen zu diversen Pharmaunternehmen, »auch im Zusammenhang mit der von ihm geführten Stiftung gegen Mangel­ernährung«.---Wie solche Geschäftsbeziehungen konkret ausgesehen haben könnten, zeigt das Vernehmungsprotokoll zweier Pharmavertreter.",Spiegel,Germany,2023,entrepreneurs,labor_market_position
9445,"En effet, si les ­locataires bénéficient des économies d'énergie, sous la forme d'une baisse de leurs charges, les bailleurs ne peuvent répercuter, même partiellement, le coût des travaux sur le montant des loyers qu'ils perçoivent.",Figaro,France,2006,real-estate owners;tenants,real_estate_ownership
